1	-215.239146431,-414.0395105,-615.442974887,-131.820236359,-99.9834117503,89.408241674,-65.671630233,94.0510816412,-34.8616614063,195.596189879,86.9196263464,-33.6186990424,-5.46058830755,-30.1958836534,-49.51661874,-1.25165125468,49.9117578679,19.0345110526,13.8154327429,-39.2619020707,-0.598355431328,-12.5607747831,-13.5208992606,28.6360967921,31.5771678617
2	-119.24072572982263,-315.51647855172706,247.31065413215669,395.6514208059714,-288.6027265332343,-288.8814462694072,118.3878271209606,184.90276549075378,178.20852611824,-137.97955401020008,61.814077141074534,-0.2718895394670677,-101.97238978230781,50.70291833984944,-118.76545339763943,15.648924866878716,22.236252763340147,-9.446750734155389,13.462281585893109,53.136800576006664,-33.500643295577575,-43.326358692782186,62.90761568131895,24.271499197626955,29.827532005026285
3	-165.8133997147848,-4.203680996505765,314.8085227788965,512.6696087951893,-202.9278592672883,550.8526497863108,111.52159016722919,-89.914841266134,34.81142936037582,92.55948264289279,-65.23975852738211,-70.43755389722585,76.49437512209428,-59.431210142506536,3.085027408297873,-21.787156600491326,-129.26846348344708,-18.506332601340418,33.78406293211953,-61.80646471717836,17.53856425704171,46.97717767765407,-4.619692216958923,-16.913191704238557,5.2226929508454205
4	283.87536408409284,626.2248938446804,-257.034909836425,-140.32463976117992,-22.70644851181597,93.48631489481973,21.627832051376437,80.89101667776578,35.00128658441277,-166.7835879363631,-138.5894770290028,104.28291156828782,-47.934826724594146,79.68363826306671,-35.33923615708838,-46.08438512915794,1.8549659686827829,-1.7821519278244398,-15.222819673265546,-70.85134073743357,-69.57001249551956,7.061214586929337,57.984492983575116,60.42582594870381,-35.675001516709735
5	-168.23503793019975,570.5655377129157,-267.6466521232644,463.96563213456267,3.2761681171118364,-85.99408527337437,-234.66034737464275,132.08745234603066,-206.94864783465974,-102.86569828268753,90.82585474564517,-64.00042181305483,30.189643064878606,-63.23585238312405,70.92601347808439,-57.61839049296323,29.418835992148747,72.62272908559636,28.51800724894331,33.00019790849793,55.70661497685454,14.544830600525579,-54.34184153796806,-72.59481574290174,-5.1363074310592784
6	59.82900642299067,-168.27361954102628,138.83340567106325,-441.3721069751956,-187.3104251157089,-29.211977156889635,-120.64906757117002,-131.3117444521673,95.82630732057676,-112.27671590644312,39.54685176059218,26.714918974204306,122.54735594743526,39.757083001592726,-6.803195443008145,71.60811193297103,-47.3415779302931,-47.81719028514287,-1.4204899245661675,-8.795306871409998,-4.530447878413845,16.52030773883109,-48.662479572501894,-15.732544771026998,-15.123394895625175
7	-775.012483637895,-141.0745913420293,524.5683368354477,-313.6047967014853,369.23247516673763,226.874393968728,-90.49699215941,219.7914878867028,-117.47802783736219,-50.30400266867088,-77.27824197204066,-29.024707544157128,-62.94333046318808,-13.872173727379337,17.3724397081648,-20.755701797666248,57.56901605832234,-81.22326213393855,-63.254573325259344,-6.745860950090618,13.877440541874494,34.678435890381905,54.051967976060105,-41.82520503171472,-13.618461818200158
8	841.7621237937672,-421.99326505486164,101.75968872444828,101.61142911592894,248.60193328906428,-40.34374654454099,43.8537873114512,-134.58674020051484,-97.76781436645874,-65.4783201090522,26.457766160879217,43.712663476232095,17.05985741928953,-56.30580439684368,158.5945718066714,-43.158608365927066,68.41671233968074,34.656163158706256,-40.26068301370123,20.282832015214915,0.24536548468125344,-11.69658573562243,69.48427816764546,13.763225755422184,14.269697492456318
9	268.2933385584474,496.5500780611032,321.72438145186635,-232.32924093414348,50.19880069376448,-233.99281105551788,82.34790781056999,-46.0925309797425,1.4687620780668187,353.75655904434655,19.38449201892465,-52.21613449377303,-36.29951256285069,-38.90712723746708,-29.76404014391974,41.281088401580085,-7.734930609716258,10.75334675060963,33.89867785007834,58.81141024294618,31.789964660470588,-23.044651833102897,-75.94621458298292,-36.6769088578335,-14.477102748105645
0	-1072.105156562343,-221.5827451478798,-230.4916252213669,83.02444841825802,671.7992844025378,-309.7793565274813,134.3644391894372,-318.15348178875945,11.921025689576254,-94.31193844123368,-121.77090973222333,18.389055355040913,-71.27343927737587,144.76004138737702,3.7902945748204786,24.939639216460215,-87.87126857513172,3.213878733309584,-40.68429772871596,75.60808999421654,42.16013156979009,-7.811623031688303,-57.35043285753973,8.732795880442191,-27.50801715861383
